mol,Molecular weight,logP,donorcount,acceptorcount,logD[pH=7.4],bpKa1,polar surface area,fsp3,Heavy atom count,Rotatable bonds
JHU- 5198,613.96,2.99,2,4,-0.21,2.74,83.63,0.33,20,4
Iocetamic acid,613.96,2.99,2,4,-0.21,2.74,83.63,0.33,20,4
NCGC EXT_IDNPC-7266412,613.96,2.99,2,4,-0.21,2.74,83.63,0.33,20,4
Lisofylline,280.328,0.2,1,4,0.2,-1.03,78.67,0.62,20,5
JHU- 5775,280.328,0.2,1,4,0.2,-1.03,78.67,0.62,20,5
NCGC EXT_IDNPC-7266144,280.328,0.2,1,4,0.2,-1.03,78.67,0.62,20,5
metaproterenol,211.261,0.21,4,4,-0.94,9.7,72.72,0.45,15,4
JHU- 6246,211.261,0.21,4,4,-0.94,9.7,72.72,0.45,15,4
NCGC EXT_IDNPC-7266007,211.261,0.21,4,4,-0.94,9.7,72.72,0.45,15,4
JHU- 6135,275.392,4.98,1,2,4.98,2.28,52.32,0.59,20,4
NCGC EXT_IDNPC-7265754,275.392,4.98,1,2,4.98,2.28,52.32,0.59,20,4
JHU- 6160,218.253,0.93,2,2,0.93,15.2,104.64,0.78,15,8
Mebrobamate,218.253,0.93,2,2,0.93,15.2,104.64,0.78,15,8
NCGC EXT_IDNPC-7265448,218.253,0.93,2,2,0.93,15.2,104.64,0.78,15,8
acetazolamide,222.24,-1.04,2,5,-2.08,6.55,115.04,0.25,13,2
JHU- 96,222.24,-1.04,2,5,-2.08,6.55,115.04,0.25,13,2
ACETAZOLAMIDE,222.24,-1.04,2,5,-2.08,6.55,115.04,0.25,13,2
NCGC EXT_IDNPC-7265340,222.24,-1.04,2,5,-2.08,6.55,115.04,0.25,13,2
diethylcarbamazine,199.298,0.09,0,2,-0.03,6.9,26.79,0.9,14,2
JHU- 3074,199.298,0.09,0,2,-0.03,6.9,26.79,0.9,14,2
Diethylcarbamazine,199.298,0.09,0,2,-0.03,6.9,26.79,0.9,14,2
NCGC EXT_IDNPC-7265230,199.298,0.09,0,2,-0.03,6.9,26.79,0.9,14,2
JHU- 8720,110.112,1.37,2,2,1.36,9.26,40.46,0,8,0
NCGC EXT_IDNPC-7264451,110.112,1.37,2,2,1.36,9.26,40.46,0,8,0
JHU- 6432,195.218,-1.06,3,4,-1.06,2.06,83.55,0.3,14,3
NCGC EXT_IDNPC-7264080,195.218,-1.06,3,4,-1.06,2.06,83.55,0.3,14,3
hexachlorophene,406.89,7.08,2,2,5.18,5.15,40.46,0.08,21,2
JHU- 4799,406.89,7.08,2,2,5.18,5.15,40.46,0.08,21,2
NCGC EXT_IDNPC-7264008,406.89,7.08,2,2,5.18,5.15,40.46,0.08,21,2
clonazepam,315.71,3.15,1,4,3.15,11.7,84.6,0.07,22,2
JHU- 2385,315.71,3.15,1,4,3.15,11.7,84.6,0.07,22,2
CIC310,315.71,3.15,1,4,3.15,11.7,84.6,0.07,22,2
NCGC EXT_IDNPC-7263938,315.71,3.15,1,4,3.15,11.7,84.6,0.07,22,2
JHU- 10544,284.181,0.22,0,10,0.06,7.02,160.35,1,19,12
1182_FDAMDD_v3b,284.181,0.22,0,10,0.06,7.02,160.35,1,19,12
NCGC EXT_IDNPC-7263894,284.181,0.22,0,10,0.06,7.02,160.35,1,19,12
JHU- 2587,113.12,-1.06,2,3,-1.07,9.33,56.19,0.5,8,0
NCGC EXT_IDNPC-7263889,113.12,-1.06,2,3,-1.07,9.33,56.19,0.5,8,0
JHU- 6321,454.447,-0.24,5,12,-6.56,3.26,210.54,0.25,33,9
METHOTREXATE,454.447,-0.24,5,12,-6.56,3.26,210.54,0.25,33,9
NCGC EXT_IDNPC-7263658,454.447,-0.24,5,12,-6.56,3.26,210.54,0.25,33,9
JHU- 5280,613.916,2.73,3,4,-0.79,2.13,95.5,0.18,20,3
Iothalamic acid,613.916,2.73,3,4,-0.79,2.13,95.5,0.18,20,3
NCGC EXT_IDNPC-7263584,613.916,2.73,3,4,-0.79,2.13,95.5,0.18,20,3
JHU- 9564,300.34,1.55,2,5,1.01,6.79,97.97,0,21,2
NCGC EXT_IDNPC-7263491,300.34,1.55,2,5,1.01,6.79,97.97,0,21,2
JHU- 1899,427.45,0.29,3,6,-3.12,3.39,148.26,0.38,28,8
225_FDAMDD_v3b,427.45,0.29,3,6,-3.12,3.39,148.26,0.38,28,8
NCGC EXT_IDNPC-7263323,427.45,0.29,3,6,-3.12,3.39,148.26,0.38,28,8
JHU- 6167,124.139,1.51,1,2,1.51,9.94,29.46,0.14,9,1
NCGC EXT_IDNPC-7263164,124.139,1.51,1,2,1.51,9.94,29.46,0.14,9,1
baclofen,213.66,-0.78,2,3,-0.78,3.89,63.32,0.3,14,4
JHU- 940,213.66,-0.78,2,3,-0.78,3.89,63.32,0.3,14,4
BACLOFEN,213.66,-0.78,2,3,-0.78,3.89,63.32,0.3,14,4
NCGC EXT_IDNPC-7262498,213.66,-0.78,2,3,-0.78,3.89,63.32,0.3,14,4
alendronate,249.096,-4.19,6,8,-6.55,0.69,161.31,1,14,5
JHU- 254,249.096,-4.19,6,8,-6.55,0.69,161.31,1,14,5
ALENDRONATE,249.096,-4.19,6,8,-6.55,0.69,161.31,1,14,5
NCGC EXT_IDNPC-7262494,249.096,-4.19,6,8,-6.55,0.69,161.31,1,14,5
JHU- 9282,142.077,,0,0,,,0,,7,0
NCGC EXT_IDNPC-7262343,142.077,,0,0,,,0,,7,0
isoproterenol,211.261,0.24,4,4,-0.99,8.96,72.72,0.45,15,4
JHU- 5412,211.261,0.24,4,4,-0.99,8.96,72.72,0.45,15,4
ISOPROTERENOL,211.261,0.24,4,4,-0.99,8.96,72.72,0.45,15,4
NCGC EXT_IDNPC-7262050,211.261,0.24,4,4,-0.99,8.96,72.72,0.45,15,4
JHU- 1110,122.123,1.63,1,2,-1.48,4.08,37.3,0,9,1
NCGC EXT_IDNPC-7261850,122.123,1.63,1,2,-1.48,4.08,37.3,0,9,1
DDD-000000283,122.123,1.63,1,2,-1.48,4.08,37.3,0,9,1
JHU- 2067,270.76,2.48,1,3,0.92,8.96,55.56,0.46,18,7
Chloroprocaine,270.76,2.48,1,3,0.92,8.96,55.56,0.46,18,7
NCGC EXT_IDNPC-7261828,270.76,2.48,1,3,0.92,8.96,55.56,0.46,18,7
JHU- 6227,371.028,4.3,2,2,3.09,6.16,49.33,0,18,2
NCGC EXT_IDNPC-7260932,371.028,4.3,2,2,3.09,6.16,49.33,0,18,2
JHU- 11000,168.58,1.78,1,2,1.78,2.14,52.05,0,11,0
NCGC EXT_IDNPC-7258841,168.58,1.78,1,2,1.78,2.14,52.05,0,11,0
mazindol,284.74,3.44,1,3,3.44,3.86,35.83,0.19,20,1
JHU- 6020,284.74,3.44,1,3,3.44,3.86,35.83,0.19,20,1
CIC707,284.74,3.44,1,3,3.44,3.86,35.83,0.19,20,1
NCGC EXT_IDNPC-7258602,284.74,3.44,1,3,3.44,3.86,35.83,0.19,20,1
JHU- 8539,386.79,5.06,0,1,5.06,2.59,15.6,0.18,25,3
NCGC EXT_IDNPC-7258260,386.79,5.06,0,1,5.06,2.59,15.6,0.18,25,3
JHU- 164,412.529,6.46,1,3,3.29,3.99,46.53,0.39,31,4
NCGC EXT_IDNPC-7257487,412.529,6.46,1,3,3.29,3.99,46.53,0.39,31,4
JHU- 10600,863.365,17.16,0,4,17.16,-4.72,52.6,0.56,63,31
NCGC EXT_IDNPC-7257211,863.365,17.16,0,4,17.16,-4.72,52.6,0.56,63,31
deferiprone,139.154,0.61,1,3,0.61,11.8,40.54,0.29,10,0
JHU- 2796,139.154,0.61,1,3,0.61,11.8,40.54,0.29,10,0
NCGC EXT_IDNPC-7255063,139.154,0.61,1,3,0.61,11.8,40.54,0.29,10,0
JHU- 616,178.275,4.32,1,1,4.32,10.2,20.23,0.5,13,3
NCGC EXT_IDNPC-7253806,178.275,4.32,1,1,4.32,10.2,20.23,0.5,13,3
midodrine,254.286,-0.95,3,5,-1.76,8.14,93.81,0.42,18,6
JHU- 6466,254.286,-0.95,3,5,-1.76,8.14,93.81,0.42,18,6
Midodrine,254.286,-0.95,3,5,-1.76,8.14,93.81,0.42,18,6
NCGC EXT_IDNPC-7253224,254.286,-0.95,3,5,-1.76,8.14,93.81,0.42,18,6
JHU- 5875,327.81,3.46,0,3,3.26,7.18,28.07,0.28,23,0
CIC699,327.81,3.46,0,3,3.26,7.18,28.07,0.28,23,0
NCGC EXT_IDNPC-7253106,327.81,3.46,0,3,3.26,7.18,28.07,0.28,23,0
JHU- 2017,289.8,3.46,1,2,1.97,8.87,23.47,0.29,20,5
Chlophedianol,289.8,3.46,1,2,1.97,8.87,23.47,0.29,20,5
NCGC EXT_IDNPC-7253012,289.8,3.46,1,2,1.97,8.87,23.47,0.29,20,5
JHU- 4751,530.12,7.91,0,3,7.02,8.24,46.61,0.55,37,16
NCGC EXT_IDNPC-7250538,530.12,7.91,0,3,7.02,8.24,46.61,0.55,37,16
JHU- 4135,501.667,2.94,3,5,2.93,4.04,81,0.41,37,10
NCGC EXT_IDNPC-7250205,501.667,2.94,3,5,2.93,4.04,81,0.41,37,10
glipizide,445.54,1.43,3,6,0.49,4.32,130.15,0.43,31,6
JHU- 4597,445.54,1.43,3,6,0.49,4.32,130.15,0.43,31,6
NCGC EXT_IDNPC-7249627,445.54,1.43,3,6,0.49,4.32,130.15,0.43,31,6
JHU- 7824,418.44,1.79,3,7,-2.32,2.91,138.35,0.06,28,5
NCGC EXT_IDNPC-7249533,418.44,1.79,3,7,-2.32,2.91,138.35,0.06,28,5
JHU- 3310,425.92,2.9,2,3,2.75,7.03,67.92,0.36,30,5
NCGC EXT_IDNPC-7248889,425.92,2.9,2,3,2.75,7.03,67.92,0.36,30,5
JHU- 10681,1131.38,1.07,13,11,-1.04,10.3,350.64,0.37,80,18
NCGC EXT_IDNPC-7248340,1131.38,1.07,13,11,-1.04,10.3,350.64,0.37,80,18
JHU- 4828,261.365,3.83,1,2,1.43,9.87,38.33,0.56,19,6
NCGC EXT_IDNPC-7248111,261.365,3.83,1,2,1.43,9.87,38.33,0.56,19,6
JHU- 8070,340.442,-0.97,1,2,-0.97,11,46.53,0.38,25,6
NCGC EXT_IDNPC-7246835,340.442,-0.97,1,2,-0.97,11,46.53,0.38,25,6
JHU- 7327,467.654,3.16,1,4,3.15,5.78,64.09,0.5,34,12
NCGC EXT_IDNPC-7246011,467.654,3.16,1,4,3.15,5.78,64.09,0.5,34,12
JHU- 6836,444.17,0.64,5,6,-0.37,1.71,115.81,0.08,22,5
NCGC EXT_IDNPC-7245629,444.17,0.64,5,6,-0.37,1.71,115.81,0.08,22,5
JHU- 3180,367.445,3.57,0,5,3.5,6.66,49.81,0.32,27,7
NCGC EXT_IDNPC-7245236,367.445,3.57,0,5,3.5,6.66,49.81,0.32,27,7
JHU- 1516,409.59,4.48,0,4,3.82,7.96,26.79,0.46,29,7
Butaperazine,409.59,4.48,0,4,3.82,7.96,26.79,0.46,29,7
NCGC EXT_IDNPC-7244259,409.59,4.48,0,4,3.82,7.96,26.79,0.46,29,7
chlorphenesin carbamate,245.66,1.21,2,3,1.21,13.6,81.78,0.3,16,6
JHU- 2081,245.66,1.21,2,3,1.21,13.6,81.78,0.3,16,6
Chlorphenesin,245.66,1.21,2,3,1.21,13.6,81.78,0.3,16,6
NCGC EXT_IDNPC-7244035,245.66,1.21,2,3,1.21,13.6,81.78,0.3,16,6
JHU- 2079,214.05,3.04,1,2,2.46,6.95,33.12,0,13,0
Chloroxine,214.05,3.04,1,2,2.46,6.95,33.12,0,13,0
NCGC EXT_IDNPC-7244033,214.05,3.04,1,2,2.46,6.95,33.12,0,13,0
JHU- 3811,258.31,1.6,1,4,1.39,7.51,82.28,0.22,16,3
Ethoxzolamide,258.31,1.6,1,4,1.39,7.51,82.28,0.22,16,3
NCGC EXT_IDNPC-7244031,258.31,1.6,1,4,1.39,7.51,82.28,0.22,16,3
metolazone,365.83,2.94,2,4,2.94,9.54,92.5,0.19,24,2
JHU- 6399,365.83,2.94,2,4,2.94,9.54,92.5,0.19,24,2
NCGC EXT_IDNPC-7244000,365.83,2.94,2,4,2.94,9.54,92.5,0.19,24,2
JHU- 2812,456.57,1.02,3,6,0.92,6.82,110.43,0.36,32,5
353_FDAMDD_v3b,456.57,1.02,3,6,0.92,6.82,110.43,0.36,32,5
NCGC EXT_IDNPC-7243978,456.57,1.02,3,6,0.92,6.82,110.43,0.36,32,5
JHU- 1303,356.04,5.97,2,2,2.08,4.59,40.46,0,19,2
NCGC EXT_IDNPC-7243971,356.04,5.97,2,2,2.08,4.59,40.46,0,19,2
hydroflumethiazide,331.28,-0.3,3,5,-0.31,9.07,118.36,0.25,20,2
JHU- 4902,331.28,-0.3,3,5,-0.31,9.07,118.36,0.25,20,2
Hydroflumethiazide,331.28,-0.3,3,5,-0.31,9.07,118.36,0.25,20,2
NCGC EXT_IDNPC-7243970,331.28,-0.3,3,5,-0.31,9.07,118.36,0.25,20,2
JHU- 6352,284.4,2.61,0,3,2.61,2.44,19.37,0.25,20,2
NCGC EXT_IDNPC-7243864,284.4,2.61,0,3,2.61,2.44,19.37,0.25,20,2
JHU- 10280,273.244,3.28,2,5,1.69,5.59,100.67,0.07,20,3
CIC1161,273.244,3.28,2,5,1.69,5.59,100.67,0.07,20,3
NCGC EXT_IDNPC-7243863,273.244,3.28,2,5,1.69,5.59,100.67,0.07,20,3
JHU- 4909,110.112,1.37,2,2,1.36,9.68,40.46,0,8,0
NCGC EXT_IDNPC-7243536,110.112,1.37,2,2,1.36,9.68,40.46,0,8,0
JHU- 5232,396.954,3.69,1,2,3.38,7.39,33.12,0,13,0
Iodoquinol,396.954,3.69,1,2,3.38,7.39,33.12,0,13,0
NCGC EXT_IDNPC-7243514,396.954,3.69,1,2,3.38,7.39,33.12,0,13,0
JHU- 136,299.286,0.61,2,6,-2.37,3.47,100.88,0.07,22,6
NCGC EXT_IDNPC-7243234,299.286,0.61,2,6,-2.37,3.47,100.88,0.07,22,6
Mafosfamide,401.25,0.06,2,4,-2.32,-0.84,95.94,1,21,9
JHU- 5933,401.25,0.06,2,4,-2.32,-0.84,95.94,1,21,9
NCGC EXT_IDNPC-7242926,401.25,0.06,2,4,-2.32,-0.84,95.94,1,21,9
isoniazid,137.142,-0.69,2,3,-0.69,3.35,68.01,0,10,1
JHU- 5399,137.142,-0.69,2,3,-0.69,3.35,68.01,0,10,1
ISONIAZID,137.142,-0.69,2,3,-0.69,3.35,68.01,0,10,1
NCGC EXT_IDNPC-7242910,137.142,-0.69,2,3,-0.69,3.35,68.01,0,10,1
JHU- 9570,255.31,0.98,2,4,0.5,6.93,85.08,0,16,2
NCGC EXT_IDNPC-7242482,255.31,0.98,2,4,0.5,6.93,85.08,0,16,2
allantoin,158.117,-2.36,4,3,-2.47,7.95,113.32,0.25,11,1
JHU- 249,158.117,-2.36,4,3,-2.47,7.95,113.32,0.25,11,1
JHU- 243,158.117,-2.36,4,3,-2.47,7.95,113.32,0.25,11,1
NCGC EXT_IDNPC-7242446,158.117,-2.36,4,3,-2.47,7.95,113.32,0.25,11,1
JHU- 6941,156.097,0.78,1,4,-0.8,5.75,88.87,0,11,2
NCGC EXT_IDNPC-7242319,156.097,0.78,1,4,-0.8,5.75,88.87,0,11,2
JHU- 4307,126.078,1.58,0,1,1.58,-4.76,9.23,0.5,8,3
NCGC EXT_IDNPC-7241989,126.078,1.58,0,1,1.58,-4.76,9.23,0.5,8,3
JHU- 4736,352.74,4.03,0,2,4.03,2.33,32.67,0.18,24,3
CIC587,352.74,4.03,0,2,4.03,2.33,32.67,0.18,24,3
NCGC EXT_IDNPC-7241978,352.74,4.03,0,2,4.03,2.33,32.67,0.18,24,3
gatifloxacin,375.4,-0.62,2,7,-0.62,5.49,82.11,0.47,27,4
JHU- 4518,375.4,-0.62,2,7,-0.62,5.49,82.11,0.47,27,4
NCGC EXT_IDNPC-7241208,375.4,-0.62,2,7,-0.62,5.49,82.11,0.47,27,4
isradipine,371.393,2,1,5,2,17,103.55,0.37,27,6
JHU- 5433,371.393,2,1,5,2,17,103.55,0.37,27,6
CIC649,371.393,2,1,5,2,17,103.55,0.37,27,6
NCGC EXT_IDNPC-7240944,371.393,2,1,5,2,17,103.55,0.37,27,6
JHU- 8553,399.96,5.15,1,4,1.39,10.3,37.39,0.43,28,9
Atabrine,399.96,5.15,1,4,1.39,10.3,37.39,0.43,28,9
NCGC EXT_IDNPC-7239916,399.96,5.15,1,4,1.39,10.3,37.39,0.43,28,9
JHU- 8149,439.87,1.1,2,5,1.1,9.31,109.57,0.45,25,5
NCGC EXT_IDNPC-7239907,439.87,1.1,2,5,1.1,9.31,109.57,0.45,25,5
JHU- 5396,141.258,2.32,1,1,-0.63,10.7,12.03,0.78,10,4
632_FDAMDD_v3b,141.258,2.32,1,1,-0.63,10.7,12.03,0.78,10,4
NCGC EXT_IDNPC-7239525,141.258,2.32,1,1,-0.63,10.7,12.03,0.78,10,4
JHU- 9554,172.2,-0.25,2,3,-0.25,11,86.18,0,11,1
NCGC EXT_IDNPC-7239486,172.2,-0.25,2,3,-0.25,11,86.18,0,11,1
JHU- 6404,267.369,1.76,2,4,-0.47,9.67,50.72,0.6,19,9
METOPROLOL,267.369,1.76,2,4,-0.47,9.67,50.72,0.6,19,9
NCGC EXT_IDNPC-7239339,267.369,1.76,2,4,-0.47,9.67,50.72,0.6,19,9
JHU- 9857,417.388,1.05,2,6,1.05,5.41,72.88,0.24,30,3
NCGC EXT_IDNPC-7238741,417.388,1.05,2,6,1.05,5.41,72.88,0.24,30,3
JHU- 1712,359.59,6.13,0,1,4.58,8.94,3.24,0.43,24,10
NCGC EXT_IDNPC-7238703,359.59,6.13,0,1,4.58,8.94,3.24,0.43,24,10
JHU- 2794,191.274,2.5,0,1,2.5,-0.95,20.31,0.42,14,3
NCGC EXT_IDNPC-7238688,191.274,2.5,0,1,2.5,-0.95,20.31,0.42,14,3
JHU- 3076,205.301,2.7,0,2,2.38,7.44,20.31,0.46,15,5
CIC396,205.301,2.7,0,2,2.38,7.44,20.31,0.46,15,5
NCGC EXT_IDNPC-7238153,205.301,2.7,0,2,2.38,7.44,20.31,0.46,15,5
JHU- 6312,288.42,2.98,2,2,2.58,7.2,58.2,0.75,18,6
NCGC EXT_IDNPC-7237563,288.42,2.98,2,2,2.58,7.2,58.2,0.75,18,6
Monolaurin,274.401,3.3,2,3,3.3,13.6,66.76,0.93,19,14
JHU- 12759,274.401,3.3,2,3,3.3,13.6,66.76,0.93,19,14
NCGC EXT_IDNPC-7237403,274.401,3.3,2,3,3.3,13.6,66.76,0.93,19,14
JHU- 10463,150.174,-1.3,2,4,-1.3,14.8,58.92,1,10,7
NCGC EXT_IDNPC-7236795,150.174,-1.3,2,4,-1.3,14.8,58.92,1,10,7
methadone,309.453,5.01,0,2,3.29,9.12,20.31,0.38,23,7
JHU- 5678,309.453,5.01,0,2,3.29,9.12,20.31,0.38,23,7
METHADONE,309.453,5.01,0,2,3.29,9.12,20.31,0.38,23,7
NCGC EXT_IDNPC-7236678,309.453,5.01,0,2,3.29,9.12,20.31,0.38,23,7
JHU- 3080,380.484,6.42,0,2,6.42,-6.88,52.6,0.33,28,10
NCGC EXT_IDNPC-7236624,380.484,6.42,0,2,6.42,-6.88,52.6,0.33,28,10
lansoprazole,369.36,3.03,1,4,3.03,9.35,67.87,0.25,25,6
JHU- 5546,369.36,3.03,1,4,3.03,9.35,67.87,0.25,25,6
Lansoprazole,369.36,3.03,1,4,3.03,9.35,67.87,0.25,25,6
NCGC EXT_IDNPC-7236599,369.36,3.03,1,4,3.03,9.35,67.87,0.25,25,6
JHU- 6149,246.266,1.63,1,3,1.33,7.4,66.48,0.31,18,2
CIC729,246.266,1.63,1,3,1.33,7.4,66.48,0.31,18,2
NCGC EXT_IDNPC-7235583,246.266,1.63,1,3,1.33,7.4,66.48,0.31,18,2
JHU- 1341,154.253,1.99,1,1,1.99,-0.78,20.23,1,11,0
NCGC EXT_IDNPC-7235419,154.253,1.99,1,1,1.99,-0.78,20.23,1,11,0
Bindarit,324.38,3.58,1,4,0.3,3.76,64.35,0.26,24,6
JHU- 1239,324.38,3.58,1,4,0.3,3.76,64.35,0.26,24,6
NCGC EXT_IDNPC-7235254,324.38,3.58,1,4,0.3,3.76,64.35,0.26,24,6
JHU- 2056,177.45,1.75,1,1,1.75,12.6,20.23,1,8,1
NCGC EXT_IDNPC-7235157,177.45,1.75,1,1,1.75,12.6,20.23,1,8,1
JHU- 8721,152.149,1.28,1,2,1.27,9.03,46.53,0.12,11,2
NCGC EXT_IDNPC-7235045,152.149,1.28,1,2,1.27,9.03,46.53,0.12,11,2
JHU- 84,353.33,2.68,1,5,0.49,5.09,106.74,0.16,26,5
NCGC EXT_IDNPC-7234098,353.33,2.68,1,5,0.49,5.09,106.74,0.16,26,5
Ethanol gel,46.069,-0.16,1,1,-0.16,16.5,20.23,1,3,0
JHU- 244,46.069,-0.16,1,1,-0.16,16.5,20.23,1,3,0
Ethyl alcohol,46.069,-0.16,1,1,-0.16,16.5,20.23,1,3,0
NCGC EXT_IDNPC-7234080,46.069,-0.16,1,1,-0.16,16.5,20.23,1,3,0
halothane,197.38,2.12,0,0,2.12,,0,1,7,1
JHU- 4755,197.38,2.12,0,0,2.12,,0,1,7,1
NCGC EXT_IDNPC-7233785,197.38,2.12,0,0,2.12,,0,1,7,1
JHU- 6350,211.217,-1.36,4,5,-1.37,1.73,103.78,0.3,15,3
METHYLDOPA,211.217,-1.36,4,5,-1.37,1.73,103.78,0.3,15,3
NCGC EXT_IDNPC-7233552,211.217,-1.36,4,5,-1.37,1.73,103.78,0.3,15,3
foscarnet,126.004,-0.83,3,5,-7.58,-0.1,94.83,0,7,1
JHU- 4362,126.004,-0.83,3,5,-7.58,-0.1,94.83,0,7,1
NCGC EXT_IDNPC-7233466,126.004,-0.83,3,5,-7.58,-0.1,94.83,0,7,1
dichlofenac,296.15,4.26,2,3,1.1,4,49.33,0.07,19,4
JHU- 3049,296.15,4.26,2,3,1.1,4,49.33,0.07,19,4
CIC390,296.15,4.26,2,3,1.1,4,49.33,0.07,19,4
NCGC EXT_IDNPC-7233464,296.15,4.26,2,3,1.1,4,49.33,0.07,19,4
JHU- 7005,227.085,0.26,0,9,0.26,-5.61,157.11,1,15,8
NCGC EXT_IDNPC-7233355,227.085,0.26,0,9,0.26,-5.61,157.11,1,15,8
6-aminohexanoic acid,131.175,-2,2,3,-2,10.2,63.32,0.83,9,5
JHU- 499,131.175,-2,2,3,-2,10.2,63.32,0.83,9,5
AMINOCAPROIC ACID,131.175,-2,2,3,-2,10.2,63.32,0.83,9,5
NCGC EXT_IDNPC-7233111,131.175,-2,2,3,-2,10.2,63.32,0.83,9,5
acyclovir,225.208,-1.55,3,6,-1.55,10.2,114.76,0.38,16,4
JHU- 159,225.208,-1.55,3,6,-1.55,10.2,114.76,0.38,16,4
ACYCLOVIR,225.208,-1.55,3,6,-1.55,10.2,114.76,0.38,16,4
NCGC EXT_IDNPC-7233109,225.208,-1.55,3,6,-1.55,10.2,114.76,0.38,16,4
JHU- 5419,545.69,2.05,2,7,0.79,-2.51,114.99,0.3,37,9
NCGC EXT_IDNPC-7233095,545.69,2.05,2,7,0.79,-2.51,114.99,0.3,37,9
JHU- 1442,433.04,7.42,0,2,7.01,7.6,6.48,0.36,31,6
Buclizine,433.04,7.42,0,2,7.01,7.6,6.48,0.36,31,6
NCGC EXT_IDNPC-7233089,433.04,7.42,0,2,7.01,7.6,6.48,0.36,31,6
iopanoic acid,570.935,4.58,2,3,1.5,2.85,63.32,0.36,17,4
JHU- 5258,570.935,4.58,2,3,1.5,2.85,63.32,0.36,17,4
Iopanoic acid,570.935,4.58,2,3,1.5,2.85,63.32,0.36,17,4
NCGC EXT_IDNPC-7233087,570.935,4.58,2,3,1.5,2.85,63.32,0.36,17,4
JHU- 3005,613.916,2.89,3,4,-0.63,2.17,95.5,0.18,20,3
NCGC EXT_IDNPC-7233063,613.916,2.89,3,4,-0.63,2.17,95.5,0.18,20,3
JHU- 3016,184.26,3.94,0,0,3.94,,0,0,13,0
NCGC EXT_IDNPC-7232960,184.26,3.94,0,0,3.94,,0,0,13,0
JHU- 4484,170.12,0.72,4,5,-2.48,3.94,97.99,0,12,1
NCGC EXT_IDNPC-7232838,170.12,0.72,4,5,-2.48,3.94,97.99,0,12,1
mafenide,186.23,-0.52,2,3,-1.96,9.04,86.18,0.14,12,2
JHU- 5928,186.23,-0.52,2,3,-1.96,9.04,86.18,0.14,12,2
NCGC EXT_IDNPC-7232749,186.23,-0.52,2,3,-1.96,9.04,86.18,0.14,12,2
JHU- 3280,301.386,2.62,4,4,1.16,9.27,72.72,0.33,22,7
DOBUTAMINE,301.386,2.62,4,4,1.16,9.27,72.72,0.33,22,7
NCGC EXT_IDNPC-7232205,301.386,2.62,4,4,1.16,9.27,72.72,0.33,22,7
diazepam,284.74,3.08,0,2,3.08,2.92,32.67,0.12,20,1
JHU- 3010,284.74,3.08,0,2,3.08,2.92,32.67,0.12,20,1
CIC379,284.74,3.08,0,2,3.08,2.92,32.67,0.12,20,1
NCGC EXT_IDNPC-7231902,284.74,3.08,0,2,3.08,2.92,32.67,0.12,20,1
JHU- 8913,183.18,0.45,1,3,-0.49,1.94,63.24,0,12,0
NCGC EXT_IDNPC-7231901,183.18,0.45,1,3,-0.49,1.94,63.24,0,12,0
cyclophosphamide,261.08,0.1,1,1,0.1,13.5,41.57,1,14,5
JHU- 2670,261.08,0.1,1,1,0.1,13.5,41.57,1,14,5
CYCLOPHOSPHAMIDE,261.08,0.1,1,1,0.1,13.5,41.57,1,14,5
NCGC EXT_IDNPC-7231732,261.08,0.1,1,1,0.1,13.5,41.57,1,14,5
JHU- 774,74.922,0.75,0,0,0.75,,0,,1,0
NCGC EXT_IDNPC-7231710,74.922,0.75,0,0,0.75,,0,,1,0
JHU- 10320,92.141,2.49,0,0,2.49,,0,0.14,7,0
NCGC EXT_IDNPC-7231688,92.141,2.49,0,0,2.49,,0,0.14,7,0
JHU- 5968,134.087,-1.11,3,5,-6.81,3.2,94.83,0.5,9,3
NCGC EXT_IDNPC-7231683,134.087,-1.11,3,5,-6.81,3.2,94.83,0.5,9,3
JHU- 7745,261.368,3.62,0,1,2.01,9,3.24,0.26,20,1
CIC924,261.368,3.62,0,1,2.01,9,3.24,0.26,20,1
NCGC EXT_IDNPC-7231471,261.368,3.62,0,1,2.01,9,3.24,0.26,20,1
JHU- 6585,276.38,2.04,1,3,1.96,6.65,45.33,0.69,20,3
MOLINDONE,276.38,2.04,1,3,1.96,6.65,45.33,0.69,20,3
NCGC EXT_IDNPC-7231371,276.38,2.04,1,3,1.96,6.65,45.33,0.69,20,3
JHU- 491,194.237,2.68,1,2,1.19,9.29,38.91,0,15,0
NCGC EXT_IDNPC-7231321,194.237,2.68,1,2,1.19,9.29,38.91,0,15,0
chlorhexidine,505.45,3.63,8,10,-1.14,11.4,172.58,0.27,34,9
JHU- 12687,505.45,3.63,8,10,-1.14,11.4,172.58,0.27,34,9
NCGC EXT_ID77146-42-0,505.45,3.63,8,10,-1.14,11.4,172.58,0.27,34,9
JHU- 1615,210.135,-1.96,2,5,-5.57,1.13,112.88,1,11,4
NCGC EXT_ID27214-00-2,210.135,-1.96,2,5,-5.57,1.13,112.88,1,11,4
JHU- 9250,99.985,-0.54,2,3,-4.2,0.1,57.53,,5,0
NCGC EXT_ID10163-15-2,99.985,-0.54,2,3,-4.2,0.1,57.53,,5,0
JHU- 9137,238.461,1.76,0,2,1.76,-3.67,18.46,1,13,3
NCGC EXT_ID8050-81-5,238.461,1.76,0,2,1.76,-3.67,18.46,1,13,3
